Syntax version=4
Fri Apr 28 14:34:06 2017
Starting process (2666410000 clocks per sec)

LogRawData=false
VarHeader=1
D:		new_0	new_1	new_2	new_3
D:	time(ms)	(0x20000644,2)	(0x20000646,2)	(0x20000648,2)	(0x2000064a,2)
D:	3005.54	548	5	1387	0
D:	3011.53	547	0	1385	0
D:	3017.53	548	5	1388	0
D:	3023.55	511	7	1388	0
D:	3029.52	511	1	1389	0
D:	3035.52	511	4	1387	0
D:	3041.53	511	4	1391	0
D:	3047.54	511	1	1387	0
D:	3053.53	511	4	1385	0
D:	3059.53	511	1	1388	0
D:	3065.56	500	2	1387	0
D:	3071.58	496	6	1388	0
D:	3077.53	447	4	1387	0
D:	3083.53	419	2	1387	0
D:	3089.55	393	5	1387	0
D:	3095.53	338	3	1388	0
D:	3101.53	285	5	1384	0
D:	3107.55	226	3	1386	0
D:	3113.52	172	1	1386	0
D:	3119.52	115	1	1385	0
D:	3125.52	56	3	1388	0
D:	3131.55	26	2	1387	0
D:	3137.53	0	3	1389	0
D:	3143.57	0	7	1385	0
D:	3149.55	1	2	1387	0
D:	3155.53	2	4	1387	0
D:	3161.52	6	0	1384	0
D:	3167.52	7	6	1387	0
D:	3173.62	0	3	1388	0
D:	3179.53	1	0	1386	0
D:	3185.52	0	5	1386	0
D:	3191.53	9	3	1388	0
D:	3197.53	4	4	1387	0
D:	3203.52	1	3	1388	0
D:	3209.51	0	0	1391	0
D:	3215.55	0	3	1388	0
D:	3221.53	0	4	1386	0
D:	3227.52	0	7	1386	0
D:	3233.53	10	5	1385	0
D:	3239.53	14	4	1385	0
D:	3245.52	3	7	1386	0
D:	3251.52	1	4	1387	0
D:	3257.52	0	1	1389	0
D:	3263.53	0	3	1388	0
D:	3269.52	0	3	1388	0
D:	3275.55	0	4	1384	0
D:	3281.55	5	2	1387	0
D:	3287.52	0	6	1385	0
D:	3293.52	0	2	1386	0
D:	3299.52	1	1	1387	0
D:	3305.53	5	5	1387	0
D:	3311.52	12	5	1387	0
D:	3317.52	0	1	1386	0
D:	3323.55	1	3	1387	0
D:	3329.53	0	6	1388	0
D:	3335.52	1	1	1385	0
D:	3341.52	2	8	1386	0
D:	3347.54	2	5	1388	0
D:	3353.53	0	2	1385	0
D:	3359.54	0	1	1388	0
D:	3365.55	0	0	1384	0
D:	3371.52	3	7	1385	0
D:	3377.51	0	2	1385	0
D:	3383.52	3	2	1389	0
D:	3389.55	1	4	1386	0
D:	3395.53	2	4	1388	0
D:	3401.54	0	4	1388	0
D:	3405.53	0	0	1386	0
D:	3411.53	0	3	1387	0
D:	3417.52	25	4	1386	0
D:	3423.52	2	0	1387	0
D:	3429.52	1	9	1387	0
D:	3435.53	2	3	1387	0
D:	3441.52	20	1	1387	0
D:	3447.52	13	4	1386	0
D:	3453.53	0	4	1386	0
D:	3459.55	1	7	1384	0
D:	3465.52	0	5	1385	0
D:	3471.52	0	2	1386	0
D:	3477.53	3	5	1389	0
D:	3483.52	1	1	1385	0
D:	3487.52	12	0	1387	0
D:	3493.54	0	4	1386	0
D:	3499.53	0	5	1385	0
D:	3505.51	0	4	1386	0
D:	3511.51	0	1	1386	0
D:	3517.54	5	3	1388	0
D:	3523.54	2	1	1385	0
D:	3529.52	2	0	1388	0
D:	3535.54	1	0	1385	0
D:	3541.53	0	4	1386	0
D:	3547.52	1	5	1386	0
D:	3553.51	1	7	1385	0
D:	3559.53	7	1	1389	0
D:	3565.53	9	0	1385	0
D:	3571.52	0	7	1386	0
D:	3577.51	1	0	1390	0
D:	3583.53	0	4	1388	0
D:	3589.51	0	5	1391	0
D:	3595.51	2	2	1388	0
D:	3601.51	1	4	1388	0
D:	3607.53	2	0	1387	0
D:	3613.52	0	6	1388	0
D:	3619.52	0	4	1385	0
D:	3625.54	2	2	1387	0
D:	3631.52	5	7	1388	0
D:	3637.51	11	3	1391	0
D:	3643.51	0	4	1388	0
D:	3649.53	0	3	1386	0
D:	3655.52	0	0	1385	0
D:	3661.52	0	6	1386	0
D:	3667.53	0	2	1388	0
D:	3673.52	1	1	1387	0
D:	3679.50	5	2	1385	0
D:	3685.52	15	4	1387	0
D:	3691.53	3	0	1385	0
D:	3697.52	0	5	1388	0
D:	3703.52	2	5	1388	0
D:	3709.54	0	0	1389	0
D:	3715.51	0	1	1388	0
